Geneid	description	read01	read02	read03	read04	read05	read06	read07	read08
CG17907	Ace	31.4026929388326	50.7494463743384	19.7454760930877	39.0311326783228	13.8358287752573	13.8370734861485	13.746963276662	11.7698836159669
CG4027	Act5C	618.240517233267	627.536423436531	645.677068243969	663.529255531488	653.248772888933	610.807958174268	678.510830298101	600.264064414309
CG12051	Act42A	33.3653612475097	23.4228214035408	29.6182141396316	25.3702362409098	19.765469678939	18.7788854454872	28.4758525016569	23.5397672319337
CG10067	Act57B	83.4134031187742	81.9798749123928	89.8419162235491	86.8442702092683	70.1674173602333	99.8246015786425	57.9336309516468	81.4083616771041
CG18290	Act87E	19.6266830867704	19.519017836284	15.7963808744702	10.7335614865388	23.7185636147268	20.7556102292227	16.692741121661	11.7698836159669
CG6058	Ald1	175.658813626595	172.743307851113	184.62020147037	149.294082494585	175.912680142557	172.963418576856	178.710522596606	153.008487007569
CG17876	Amy-d	385.664322655038	430.394343290062	420.578640782769	407.875336488473	804.454615932816	844.061482655057	889.624909189695	870.971387581547
CG18730	Amy-p	1238.44370277521	1220.91456565956	1246.92681527849	1222.65023114846	1166.1627110574	1175.16288393075	1220.53395377792	1228.97201423387
CG5730	AnxB9	16.6826806237548	18.5430669444698	17.770928483779	16.5882313882872	16.8006492270981	15.813798269884	10.801185431663	13.7315308852947
CG3166	aop	14.7200123150778	9.759508918142	9.87273804654386	10.7335614865388	14.8241022592042	11.860348702413	12.765037328329	12.7507072506308
CG7490	RpLP0	294.400246301556	313.280236272358	299.143962810279	303.46705657396	322.177155766705	284.648368857911	305.378969931562	306.016974015138
CG32031	Argk1	355.242963870544	314.256187164173	361.342212503505	300.539721623086	171.959586206769	141.335822037088	147.28889224995	184.394843316814
CG2210	awd	109.909425285914	97.59508918142	119.460130363181	109.287171499304	96.850801426801	112.673312672923	97.2106688849667	110.833070717021
CG18319	ben	74.5813957297275	82.955825804207	75.0328091537334	77.0864870396876	77.085331747862	71.1620922144779	82.4817796599718	68.6576544264733
CG3644	bic	56.9173809516342	71.2444151024366	60.2237020839176	60.4982556514004	52.3784946491883	78.0806289575521	68.7348163833098	59.8302417144982
CG6605	BicD	8.83200738904668	6.8316562426994	16.7836546791246	10.7335614865388	8.89446135552254	12.8487110942807	16.692741121661	22.5589435972698
CG1759	cad	4.9066707716926	6.8316562426994	6.9109166325807	3.90311326783228	19.765469678939	19.767247837355	19.6385189666599	35.3096508479006
CG8472	Cam	128.554774218346	135.657173962174	137.23105884696	125.875402887591	312.294420927236	270.811295371763	278.866969326571	284.438854052532
CG6871	Cat	155.050796385486	183.47876766107	171.785642009863	175.640097052453	89.9328870391723	81.0457161331553	75.6082980216408	73.5617725997928
CG4379	Pka-C1	17.6640147780934	6.8316562426994	15.7963808744702	11.7093398034968	16.8006492270981	12.8487110942807	13.746963276662	15.6931781546225
CG9553	chic	92.2454105078209	92.715334722349	85.8928210049316	102.456723280597	93.8859809749601	86.9758904843618	64.8071125899778	87.2933034850875
CG11024	cl	6.86933908036964	18.5430669444698	12.834559460507	15.6124530713291	22.7302901307798	9.88362391867748	9.81925948332997	5.88494180798343
CG5855	cni	54.9547126429571	33.1823303216828	63.1855234978807	42.9342459461551	21.7420166468329	15.813798269884	26.5120006049909	24.5205908665976
CG12070	Sap-r	11.7760098520622	12.6873615935846	8.88546424188948	10.7335614865388	13.8358287752573	10.8719863105452	16.692741121661	9.80823634663904
CG9285	Dip-B	35.3280295561867	38.0620847807538	35.5418569675579	39.0311326783228	44.4723067776127	37.5577708909744	30.4397043983229	22.5589435972698
CG5663	Dip-C	45.1413710995719	62.4608570761088	67.1346187164983	48.7889158479035	31.6247514863024	21.7439726210905	22.5842968116589	28.4438854052532
CG32498	dnc	20.6080172411089	18.5430669444698	12.834559460507	12.6851181204549	18.777196194992	33.6043213235034	15.710815173328	12.7507072506308
CG3525	eas	19.6266830867704	11.7114107017704	13.8218332651614	7.80622653566456	7.90618787157559	8.89526152680973	8.83733353499697	6.86576544264733
CG2238	eEF2	129.536108372685	110.282450775005	127.358320800416	132.705851106298	154.170663495724	121.568574199733	112.921484058295	122.602954332988
CG7266	MsrA	11.7760098520622	27.3266249707976	18.7582022884333	25.3702362409098	20.7537431628859	21.7439726210905	14.728889224995	18.6356490586142
CG5345	Eip55E	15.7013464694163	13.6633124853988	13.8218332651614	21.4671229730776	11.8592818073634	21.7439726210905	17.6746670699939	11.7698836159669
CG1007	emc	23.5520197041245	19.519017836284	27.6436665303228	35.1280194104905	7.90618787157559	12.8487110942807	8.83733353499697	9.80823634663904
CG17654	Eno	48.0853735625875	44.8937410234532	52.3255116466825	47.8131375309455	185.795414982026	181.858680103666	129.614225179956	188.31813785547
CG3665	Fas2	17.6640147780934	23.4228214035408	27.6436665303228	19.5155663391614	4.94136741973474	9.88362391867748	14.728889224995	6.86576544264733
CG2096	flw	18.6453489324319	18.5430669444698	11.8472856558526	20.4913446561195	18.777196194992	15.813798269884	11.783111379996	16.6740017892864
CG10033	for	51.029376025603	68.316562426994	64.1727973025351	59.5224773344423	57.319862068923	69.1853674307424	64.8071125899778	64.7343598878177
CG8874	FER	11.7760098520622	7.8076071345136	22.7072975070509	12.6851181204549	18.777196194992	15.813798269884	10.801185431663	15.6931781546225
CG9092	Gal	18.6453489324319	14.639263377213	17.770928483779	14.6366747543711	14.8241022592042	9.88362391867748	14.728889224995	9.80823634663904
CG12055	Gapdh1	50.0480418712645	46.8456428070816	64.1727973025351	56.5951423835681	57.319862068923	51.3948443771229	48.1143714683169	54.9261235411786
